identificador;asignatura;anho;convocatoria;tipoexam;puntaje
69bf06b45443cadf136b6c07609fe7b4;ALGORITMOS Y ESTRUCTURA DE DATOS III;2014;1;1F   ;75
0ccddb35c2a9ed6308ed5abe06194a8c;EMPRENDEDORISMO;2014;1;2F   ;82
69bf06b45443cadf136b6c07609fe7b4;CONTABILIDAD;2014;1;1F   ;52
0ccddb35c2a9ed6308ed5abe06194a8c;EXPRESION ORAL Y ESCRITA;2014;1;2F   ;90
69bf06b45443cadf136b6c07609fe7b4;FISICA 1;2014;1;1F   ;43
038e80df935a79af114d0dbc2c052b3f;ADMINISTRACION GUBERNAMENTAL;2014;1;2F   ;100
e3a47968661ac306d0757551852b4983;PROBABILIDADES Y ESTADISTICA;2014;1;2F   ;35
1828128824acd667865c5ca3e41ed802;EVALUACION DE RENDIMIENTO;2014;1;1F   ;59
e3a47968661ac306d0757551852b4983;CALCULO III;2014;1;2F   ;87
1828128824acd667865c5ca3e41ed802;DATA WAREHOUSE I - DISEÑO MULTIDIMENSIONAL;2014;1;2F   ;94
0716a1a6da5d7fbf31bf47f75d116c2b;LENGUAJES DE PROGRAMACION II;2014;1;2F   ;52
c395c17b09f5b7183993079af64f9986;FUNDAMENTOS DE MATEMATICA;2014;1;2F   ;86
e514644b3f3c4eb20eedf86159b07677;GESTION DE CENTRO DE COMPUTOS;2014;1;1F   ;84
407bcfebbfd7b9f6b0b4217b58738979;ALGORITMOS Y ESTRUCTURA DE DATOS I;2014;1;2F   ;35
0811bee698cdb376f34fcdc8aaa38027;ALGORITMOS Y ESTRUCTURA DE DATOS I;2014;1;2F   ;35
407bcfebbfd7b9f6b0b4217b58738979;ORGANIZACION Y ARQUITECTURA DE COMPUTADORAS I;2014;1;1F   ;70
4af251c153d311d250a51fdb108e54c9;LENGUAJES DE PROGRAMACION I;2014;1;2F   ;52
1828128824acd667865c5ca3e41ed802;INGENIERIA DE SOFTWARE II;2014;1;2F   ;74
e3a47968661ac306d0757551852b4983;DESEMPEÑO Y SEGURIDAD EN LAS REDES;2014;1;1F   ;99
82aaeb02dccbb9bdcc7af6e415c30886;EMPRENDEDORISMO;2014;1;1F   ;84
b4ed38831c3af8d5ebca8617548bd712;LENGUAJES DE PROGRAMACION II;2014;1;2F   ;56
82aaeb02dccbb9bdcc7af6e415c30886;EXPRESION ORAL Y ESCRITA;2014;1;1F   ;80
358b59bc1e8ad99403a1e430faab3783;EMPRENDEDORISMO;2014;1;1F   ;100
82aaeb02dccbb9bdcc7af6e415c30886;MATEMATICA DISCRETA;2014;1;2F   ;47
eaad3ad83f488ff3379d9312d2fea957;EVALUACION DE RENDIMIENTO;2014;1;1F   ;74
